game-id,game-title,game-price
248,Counter-Strike Condition Zero,349
574,Half-Life 2 Deathmatch,199
647,Terraria,369
735,Half-Life 2,349
814,Unturned,1
1278,Garry's Mod,369
1337,Left 4 Dead 2,349
1473,Half-Life 2 Lost Coast,299
1588,Team Fortress 2,1
1821,Portal 2,349
2329,Counter-Strike Global Offensive,1
2960,Heroes & Generals,1
3095,Counter-Strike,349
3206,Robocraft,1
3801,Sid Meier's Civilization V,1499
4013,Dota 2,1
4191,Portal,349
4194,Warframe,1
4551,Counter-Strike Source,349
5105,The Elder Scrolls V Skyrim,2670
